"IP,""HOSTNAME"",""LAST SCAN"",""QID"",""VULN TITLE"",""TYPE"",""SEVERITY"",""PORT"",""PROTOCOL"",""OPERATING SYSTEM"",""IS_PCI"",""FALSE POSITIVE STATUS"",""CVSS_BASE"",""Q_SEVERITY"",""THREAT"",""IMPACT"",""SOLUTION"",""CVSS_TEMPORAL"",""CATEGORY"",""RESULT"",""BUGTRAQID"",""CVEID""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""82003"",""ICMP Timestamp Request"",""CONFIRMED"",""L"","""","""","""",""N"",""-"",""2.1"",""1"",""ICMP (Internet Control and Error Message Protocol) is a protocol encapsulated in IP packets. It's principal purpose is to provide a protocol layer able to inform gateways of the inter-connectivity and accessibility of other gateways or hosts. &quot";ping&quot;" is a well-known program for determining if a host is up or down. It uses ICMP echo packets.<P>  ICMP timestamp packets are used to synchronize clocks between hosts. Revealing the current time on the system may facilitate attackers to mount further attacks. Since the risk is especially high on internet facing targets   this vulnerability will be flagged only be Internet scanners hosted by Qualys. Internal targets will not be flagged with this vulnerability. <P>  Please see QID:82040 for a list of supported ICMP packet types."",""Unauthorized users can obtain information about your network by sending ICMP timestamp packets. For example  the internal systems clock should not be disclosed since some internal daemons use this value to calculate ID or sequence numbers (i.e.  on SunOS servers). "",""You can filter ICMP messages of type &quot";Timestamp&quot; and &quot;Timestamp Reply&quot; at the firewall level. Some system administrators choose to filter most types of ICMP messages for various reasons. For example  they may want to protect their internal hosts from ICMP-based Denial Of Service attacks  such as the <I>Ping of Death</I> or <I>Smurf</I> attacks.  <P> However  you should never filter <B>ALL</B> ICMP messages  as some of them (&quot;Don't Fragment&quot;  &quot;Destination Unreachable&quot;  &quot;Source Quench&quot;"  etc) are necessary for proper behavior of Operating System TCP/IP stacks. <P> It may be wiser to contact your network consultants for advice  since this issue impacts your overall network reliability and security.  "",""1.7"",""TCP/IP"",""Timestamp of host (network byte ordering): 12:42:27 GMT"",""-"",""CVE-1999-0524""";;;;;;;;;;;;;;;;;;;;
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""82054"",""TCP Sequence Number Approximation Based Denial of Service"",""CONFIRMED"",""M"","""","""","""",""N"",""-"",""5"",""3"",""TCP provides stateful communications between hosts on a network. TCP sessions are established by a three-way handshake and use random 32-bit sequence and acknowledgement numbers to ensure the validity of traffic. A vulnerability was reported that may permit TCP sequence numbers to be more easily approximated by remote attackers. This issue affects products released by multiple vendors.   <P> The cause of the vulnerability is that affected implementations will accept TCP sequence numbers within a certain range  known as the acknowledgement range  of the expected sequence number for a packet in the session. This is determined by the TCP window size  which is negotiated during the three-way handshake for the session. Larger TCP window sizes may be set to allow for more throughput  but the larger the TCP window size  the more probable it is to guess a TCP sequence number that falls within an acceptable range. It was initially thought that guessing an acceptable sequence number was relatively difficult for most implementations given random distribution  making this type of attack impractical. However  some implementations may make it easier to successfully approximate an acceptable TCP sequence number  making these attacks possible with a number of protocols and implementations. <P> This is further compounded by the fact that some implementations may support the use of the TCP Window Scale Option  as described in RFC 1323  to extend the TCP window size to a maximum value of 1 billion. <P> This vulnerability will permit a remote attacker to inject a SYN or RST packet into the session  causing it to be reset and effectively allowing for denial of service attacks. An attacker would exploit this issue by sending a packet to a receiving implementation with an approximated sequence number and a forged source IP address and TCP port. <P> There are a few factors that may present viable target implementations  such as those which depend on long-lived TCP connections  those that have known or easily guessed IP address endpoints and those implementations with easily guessed TCP source ports. It has been noted that Border Gateway Protocol (BGP) is reported to be particularly vulnerable to this type of attack  due to the use of long-lived TCP sessions and the possibility that some implementations may use the TCP Window Scale Option. As a result  this issue is likely to affect a number of routing platforms. <P> Another factor to consider is the relative difficulty of injecting packets into TCP sessions  as a number of receiving implementations will reassemble packets in order  dropping any duplicates. This may make some implementations more resistant to attacks than others. <P> It should be noted that while a number of vendors have confirmed this issue in various products  investigations are ongoing and it is likely that many other vendors and products will turn out to be vulnerable as the issue is investigated further."",""Successful exploitation of this issue could lead to denial of service attacks on the TCP based services of target hosts. "",""Please first check the results section below for the port number on which this vulnerability was detected. If that port number is known to be used for port-forwarding  then it is the backend host that is really vulnerable. <P> Various implementations and products including Check Point  Cisco  Cray Inc  Hitachi  Internet Initiative Japan  Inc (IIJ)  Juniper Networks  NEC and Yamaha are currently undergoing review. Contact the vendors to obtain more information about affected products and fixes. <A HREF= http://packetstormsecurity.org/0404-advisories/246929.html  TARGET= _blank >NISCC Advisory 236929 - Vulnerability Issues in TCP</A> details the vendor patch status as of the time of the advisory  and identifies resolutions and workarounds. <P> Refer to <A HREF= http://www.kb.cert.org/vuls/id/415294  TARGET= _blank >US-CERT Vulnerability Note VU#415294</A> and <A HREF= http://osvdb.org/4030  TARGET= _blank >OSVDB Article 4030</A> to obtain a list of vendors affected by this issue and a note on resolutions (if any) provided by the vendor. <P> For Microsoft: Refer to <A HREF= https://docs.microsoft.com/en-us/security-updates/securitybulletins/2005/ms05-019  TARGET= _blank >MS05-019</A> and <A HREF= https://docs.microsoft.com/en-us/security-updates/securitybulletins/2006/ms06-064  TARGET= _blank >MS06-064</A> for further details. <P> For SGI IRIX: Refer to <A HREF= ftp://patches.sgi.com/support/free/security/advisories/20040905-01-P.asc  TARGET= _blank >SGI Security Advisory 20040905-01-P</A> <P> For SCO UnixWare 7.1.3 and 7.1.1: Refer to <A HREF= ftp://ftp.sco.com/pub/updates/UnixWare/SCOSA-2005.14/SCOSA-2005.14.txt  TARGET= _blank >SCO Security Advisory SCOSA-2005.14</A> <P> For Solaris (Sun Microsystems): The vendor has acknowledged the vulnerability";" however a patch is not available. Refer to <A HREF= http://www.kb.cert.org/vuls/id/JARL-5YGQAJ  TARGET= _blank >Sun Microsystems  Inc. Information for VU#415294</A> to obtain additional details. Also  refer to <A HREF= http://www.us-cert.gov/cas/techalerts/TA04-111A.html  TARGET= _blank >TA04-111A</A> for detailed mitigating strategies against these attacks. <P> For NetBSD: Refer to <A HREF= ftp://ftp.netbsd.org/pub/NetBSD/security/advisories/NetBSD-SA2004-006.txt.asc  TARGET= _blank >NetBSD-SA2004-006</A> <P> For Cisco: Refer to <A HREF= http://www.cisco.com/warp/public/707/cisco-sa-20040420-tcp-ios.shtml  TARGET= _blank >cisco-sa-20040420-tcp-ios.shtml</A>. <P> For IBM : Refer to <A HREF= https://www.ibm.com/support/pages/tcp-sequence-number-approximation-based-denial-service-cve-2004-0230  TARGET= _blank >IBM-tcp-sequence-number-cve-2004-0230</A>. <P> For Red Hat Linux: There is no fix available : Refer to <A HREF= https://access.redhat.com/security/cve/cve-2004-0230  TARGET= _blank ></A>. <P>       Workaround:<BR>The following BGP-specific workaround information has been provided. <P> For BGP implementations that support it  the TCP MD5 Signature Option should be enabled. Passwords that the MD5 checksum is applied to should be set to strong values and changed on a regular basis. <P> Secure BGP configuration instructions have been provided for Cisco and Juniper at these locations: <BR> <A HREF= http://www.cymru.com/Documents/secure-bgp-template.html  TARGET= _blank >Secure Cisco IOS BGP Template</A> <BR> <A HREF= http://www.cymru.com/gillsr/documents/junos-bgp-template.pdf  TARGET= _blank >JUNOS Secure BGP Template</A>"",""4.3"",""TCP/IP"",""Tested on port 80 with an injected SYN/RST offset by 16 bytes."",""10183"",""CVE-2004-0230""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""38909"",""SHA1 deprecated setting for SSH"",""CONFIRMED"",""L"",""22"",""tcp"","""",""N"",""-"",""3.7"",""2"",""The SSH protocol (Secure Shell) is a method for secure remote login from one computer to another.  The target is using deprecated SHA1 cryptographic settings to communicate."",""vulnerable to collision attacks  which are designed to fabricate the same hash value for different input data.each hash is supposedly unique."",""Avoid using deprecated cryptographic settings. <P> Use best practices when configuring SSH.<P> Refer to <A HREF= https://www.nist.gov/news-events/news/2022/12/nist-retires-sha-1-cryptographic-algorithm  TARGET= _blank >NIST Retires SHA-1 Cryptographic Algorithm (SSH)</A> .<P>  Other documents to refer<BR> <A HREF= https://access.redhat.com/documentation/en-us/red_hat_enterprise_linux/7/html/7.4_release_notes/chap-red_hat_enterprise_linux-7.4_release_notes-deprecated_functionality_in_rhel7  TARGET= _blank >Deprecate settings listed for red hat</A><BR> <A HREF= https://www.ietf.org/archive/id/draft-ietf-curdle-ssh-kex-sha2-13.html  TARGET= _blank >Key exchange </A><BR> <A HREF= https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2008-5161  TARGET= _blank >CBC Cipher </A> <P>   Settings currently considered deprecated:<P>  1.Key exchange algorithms:<BR> diffie-hellman-group1-sha1  rsa1024sha1  diffie-hellman-group14-sha1  diffie-hellman-group-exchange-sha1  gss-gex-sha1-*  gss-group1-sha1-* and gss-group14-sha1-*.<P>  2.MAC:<BR>  hmac-sha1  hmac-sha1-96  hmac-sha1-etm@openssh.com  hmac-sha1-96-etm@openssh.com<P>  3.Host key:<BR>  ssh-rsa  ssh-dss  ssh-rsa-cert-v01@openssh.com  ssh-dss-cert-v01@openssh.com<P>"",""3.3"",""General remote services"",""<table width= 100%  border= 0  cellspacing= 0  cellpadding= 2 >   <tr>     <td style= color: black";border-bottom: 1px solid white;vertical-align: middle;font-size:8pt; >Type</td>     <td style= color: black;border-bottom: 1px solid white;vertical-align: middle;font-size:8pt; >Name</td>   </tr>   <tr>     <td style= color: black;border-bottom: 1px solid white;vertical-align: middle;font-size:8pt; >host key</td>     <td style= color: black;border-bottom: 1px solid white;vertical-align: middle;font-size:8pt; >ssh-rsa</td>   </tr>   <tr>     <td style= color: black;border-bottom: 1px solid white;vertical-align: middle;font-size:8pt; >MAC</td>     <td style= color: black;border-bottom: 1px solid white;vertical-align: middle;font-size:8pt; >hmac-sha1-etm@openssh.com</td>   </tr>   <tr>     <td style= color: black;border-bottom: 1px solid white;vertical-align: middle;font-size:8pt; >MAC</td>     <td style= color: black;border-bottom: 1px solid white;vertical-align: middle;font-size:8pt;" >hmac-sha1</td>   </tr> </table> "",""-"","""""
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""150004"",""Path-Based Vulnerability"",""CONFIRMED"",""M"",""443"",""tcp"","""",""Y"",""-"",""5.3"",""2"",""A file  directory  or directory listing was discovered on the Web server. These resources are confirmed to be present based on our logic. Some of the content on these files might have sensitive information.  <P>NOTE: Links found in 150004 are found by forced crawling so will not automatically be added to 150009 Links Crawled or the application site map. If links found in 150004 need to be tested they must be added as Explicit URI so they are included in scope and then will be reported in 150009. Once the link is added to be in scope (i.e. Explicit URI)  this same link will no longer be reported for 150004."",""The contents of this file or directory may disclose sensitive information."",""It is advised to review the contents of the disclosed files. If the contents contain sensitive information  please verify that access to this file or directory is permitted. If necessary  remove it or apply access controls to it."",""5"",""Web Application"",""url: https://58.62.215.35.bc.googleusercontent.com/phpMyAdmin/ Payload: https://58.62.215.35.bc.googleusercontent.com/phpMyAdmin/ comment:  Original URL is: https://58.62.215.35.bc.googleusercontent.com/  matched: HTTP/1.1 200 OK"",""-"",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""13162"",""Session Cookie Does Not Contain the ""Secure"" Attribute"",""CONFIRMED"",""M"",""443"",""tcp"","""",""Y"",""-"",""6.5"",""2"",""The secure cookie flag is an option that can be set by the application server when sending a new cookie to the user within an HTTP Response. The purpose of the secure flag is to prevent cookies from being observed by unauthorized parties due to the transmission of a the cookie in clear text. By setting the secure flag  the browser will prevent the transmission of a cookie over an unencrypted channel.<P> A cookie with the secure attribute was not detected in the scan.<P> QID Detection Logic:<BR> This unauthenticated QID checks for the existence of the &quot";secure&quot;" cookie flag."",""Session cookies sent via HTTP expose users to sniffing attacks that could lead to user impersonation or account compromise."",""Apply the &quot";secure&quot;" attribute to session cookies to ensure that they are sent via HTTPS only. More information about this flag can be found here: https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Set-Cookie."",""5.8"",""CGI"",""HTTP Cookie missing Secure attribute on port 443. Set-Cookie: XSRF-TOKEN=eyJpdiI6IkY3bnRCYy8wa3RPZHV6SUd1MkxFU0E9PSIsInZhbHVlIjoiVkJXZFVhTjU1c040MWtKdGMzRXVjdFNCSDd5NDZHRmdoeE1GenlZTzZ6Q0gvVEVSajlzb2ZvNWQ5ZTBXZXRYcnhVWnM0RUFaTkw3bWQxcVhMVjJLRW05UHhCeVdndmtwMzRRY21EZ3pobDdNeDhSR0x6OHRQd20zZWMvV29EeVYiLCJtYWMiOiIwNTNmN2M3NDBmYTM4OThlOWZjZGJkNmM4MDBiYzFmN2I4ZjZmNmRjNzAzYzIyODcxMWE1NGQxNDExNWY5MTNiIiwidGFnIjoiIn0%3D"; expires=Wed  31-Jan-2024 15:18:22 GMT; Max-Age=7200; path=/;" samesite=lax GET / HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive"",""-"",""""";;;;;;;;;;;;;;;;;;;;;;;;
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""86729"",""AutoComplete Attribute Not Disabled for Password in Form Based Authentication"",""CONFIRMED"",""L"",""443"",""tcp"","""",""N"",""-"",""2.6"",""2"",""The Web server allows form based authentication without disabling the AutoComplete feature for the password field.<P> Autocomplete should be turned off for any input that takes sensitive information such as credit card number  CVV2/CVC code  U.S. social security number  etc."",""If the browser is used in a shared computing environment where more than one person may use the browser  then &quot";autocomplete&quot;" values may be retrieved or submitted by an unauthorized user. <P>"",""Contact the vendor to have the AutoComplete attribute disabled for the password field in all forms. The AutoComplete attribute should also be disabled for the user ID field. <P> Developers can add the following attribute to the form or input element: autocomplete=&quot";off&quot; <BR> This attribute prevents the browser from prompting the user to save the populated form values for later reuse. <BR>  Most browsers no longer honor autocomplete=&quot;off&quot;" for password input fields. These browsers include  Chrome  Firefox  Microsoft Edge  IE  Opera<BR> However  there is still an ability to turn off autocomplete through the browser and that is recommended for a shared computing environment.<BR> Since the ability to turn autocomplete off for password inputs fields is controlled by the user it is highly recommended for application to enforce strong password rules.<P> "",""2"",""Web server"",""GET /phpMyAdmin/index.php HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive  <form method= post  id= login_form  action= index.php?route=/  name= login_form  class= disableAjax hide js-show >     <input type= hidden  name= route  value= / ><input type= hidden  name= lang  value= en ><input type= hidden  name= token  value= 586b557e2c3e2e73313f3c5a476d3d7d >   <input type= hidden  name= set_session  value= ef56o7nsoq8lv10rcrausq8383 >      <div class= card mb-4 >     <div class= card-header >       Log in      <img src= themes/dot.gif  title= Documentation  alt= Documentation  class= icon ic_b_help > (./doc/html/index.html)     </div>     <div class= card-body >              <div class= row mb-3 >         <label for= input_username  class= col-sm-4 col-form-label >           Username:        </label>         <div class= col-sm-8 >           <input type= text  name= pma_username  id= input_username  value=   class= form-control  autocomplete= username  spellcheck= false >         </div>       </div>        <div class= row >         <label for= input_password  class= col-sm-4 col-form-label >           Password:        </label>         <div class= col-sm-8 >           <input type= password  name= pma_password  id= input_password  value=   class= form-control  autocomplete= current-password  spellcheck= false >         </div>       </div>                <input type= hidden  name= server  value= 1 >           </div>     <div class= card-footer >               <input class= btn btn-primary  value= Log in  type= submit  id= input_go >           </div>   </div> </form>    GET /phpMyAdmin/ HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive  GET /phpMyAdmin/index.php?sql_debug=1 HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive  GET /phpMyAdmin/ HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive User-Agent: Mozilla/5.0 (Windows"; U; Windows NT 5.1; en-US; rv:1.9.0.18) Gecko/2010020220 Firefox/3.0.18 (.NET CLR 3.5.30729)  GET /phpMyAdmin/ HTTP/1.1 Connection: Keep-Alive HOST: 35.215.62.58:443 Content-Type: text/xml; charset=UTF-8 User-Agent: () { ignored; }; echo Content-Type: text/plain ; echo  ; echo ;" /usr/bin/id  GET /phpMyAdmin/index.php/123 HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive  OPTIONS /phpMyAdmin/index.php HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive  GET /phpMyAdmin/?name=%25%7B%28%23dm%3D%40ognl.OgnlContext%40DEFAULT_MEMBER_ACCESS%29.%28%23_memberAccess%3F%28%23_memberAccess%3D%23dm%29%3A%28%28%23container%3D%23context%5B%27com.opensymphony.xwork2.ActionContext.container%27%5D%29.%28%23ognlUtil%3D%23container.getInstance%28%40com.opensymphony.xwork2.ognl.OgnlUtil%40class%29%29.%28%23ognlUtil.getExcludedPackageNames%28%29.clear%28%29%29.%28%23ognlUtil.getExcludedClasses%28%29.clear%28%29%29.%28%23context.setMemberAccess%28%23dm%29%29%29%29.%28%23cmd%3D%27QUALYS-STRUTS-370547%27%29.%28%23iswin%3D%28%40java.lang.System%40getProperty%28%27os.name%27%29.toLowerCase%28%29.contains%28%27win%27%29%29%29.%28%23cmds%3D%28%23iswin%3F%7B%27cmd.exe%27%2C%27/c%27%2C%23cmd%7D%3A%7B%27/bin/bash%27%2C%27-c%27%2C%23cmd%7D%29%29.%28%23p%3Dnew%20java.lang.ProcessBuilder%28%23cmds%29%29.%28%23p.redirectErrorStream%28true%29%29.%28%23process%3D%23p.start%28%29%29.%28%40org.apache.commons.io.IOUtils%40toString%28%23process.getInputStream%28%29%29%29%7D HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive  GET /phpMyAdmin/?id=%25%7B%28%23dm%3D%40ognl.OgnlContext%40DEFAULT_MEMBER_ACCESS%29.%28%23_memberAccess%3F%28%23_memberAccess%3D%23dm%29%3A%28%28%23container%3D%23context%5B%27com.opensymphony.xwork2.ActionContext.container%27%5D%29.%28%23ognlUtil%3D%23container.getInstance%28%40com.opensymphony.xwork2.ognl.OgnlUtil%40class%29%29.%28%23ognlUtil.getExcludedPackageNames%28%29.clear%28%29%29.%28%23ognlUtil.getExcludedClasses%28%29.clear%28%29%29.%28%23context.setMemberAccess%28%23dm%29%29%29%29.%28%23cmd%3D%27QUALYS-STRUTS-370547%27%29.%28%23iswin%3D%28%40java.lang.System%40getProperty%28%27os.name%27%29.toLowerCase%28%29.contains%28%27win%27%29%29%29.%28%23cmds%3D%28%23iswin%3F%7B%27cmd.exe%27%2C%27/c%27%2C%23cmd%7D%3A%7B%27/bin/bash%27%2C%27-c%27%2C%23cmd%7D%29%29.%28%23p%3Dnew%20java.lang.ProcessBuilder%28%23cmds%29%29.%28%23p.redirectErrorStream%28true%29%29.%28%23process%3D%23p.start%28%29%29.%28%40org.apache.commons.io.IOUtils%40toString%28%23process.getInputStream%28%29%29%29%7D HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive  GET /phpMyAdmin/?viewport=%25%7B%28%23dm%3D%40ognl.OgnlContext%40DEFAULT_MEMBER_ACCESS%29.%28%23_memberAccess%3F%28%23_memberAccess%3D%23dm%29%3A%28%28%23container%3D%23context%5B%27com.opensymphony.xwork2.ActionContext.container%27%5D%29.%28%23ognlUtil%3D%23container.getInstance%28%40com.opensymphony.xwork2.ognl.OgnlUtil%40class%29%29.%28%23ognlUtil.getExcludedPackageNames%28%29.clear%28%29%29.%28%23ognlUtil.getExcludedClasses%28%29.clear%28%29%29.%28%23context.setMemberAccess%28%23dm%29%29%29%29.%28%23cmd%3D%27QUALYS-STRUTS-370547%27%29.%28%23iswin%3D%28%40java.lang.System%40getProperty%28%27os.name%27%29.toLowerCase%28%29.contains%28%27win%27%29%29%29.%28%23cmds%3D%28%23iswin%3F%7B%27cmd.exe%27%2C%27/c%27%2C%23cmd%7D%3A%7B%27/bin/bash%27%2C%27-c%27%2C%23cmd%7D%29%29.%28%23p%3Dnew%20java.lang.ProcessBuilder%28%23cmds%29%29.%28%23p.redirectErrorStream%28true%29%29.%28%23process%3D%23p.start%28%29%29.%28%40org.apache.commons.io.IOUtils%40toString%28%23process.getInputStream%28%29%29%29%7D HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive  GET /phpMyAdmin/index.php?target=db_sql.php%253f/../../../../../../windows/win.ini HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive  get /phpMyAdmin/ HTTP/1.1 Host: 58.62.215.35.bc.googleusercontent.com Connection: Keep-Alive"",""-"",""""";;;;;;;;;;;;;;;;
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""150004"",""Path-Based Vulnerability"",""CONFIRMED"",""M"",""80"",""tcp"","""",""Y"",""-"",""5.3"",""2"",""A file  directory  or directory listing was discovered on the Web server. These resources are confirmed to be present based on our logic. Some of the content on these files might have sensitive information.  <P>NOTE: Links found in 150004 are found by forced crawling so will not automatically be added to 150009 Links Crawled or the application site map. If links found in 150004 need to be tested they must be added as Explicit URI so they are included in scope and then will be reported in 150009. Once the link is added to be in scope (i.e. Explicit URI)  this same link will no longer be reported for 150004."",""The contents of this file or directory may disclose sensitive information."",""It is advised to review the contents of the disclosed files. If the contents contain sensitive information  please verify that access to this file or directory is permitted. If necessary  remove it or apply access controls to it."",""5"",""Web Application"",""url: https://virtualcards.bestcash.me/phpMyAdmin/ Payload: http://virtualcards.bestcash.me/phpMyAdmin/ comment: Found this Vulnerability for redirect link: https://virtualcards.bestcash.me/phpMyAdmin/. It was redirected from: http://virtualcards.bestcash.me/phpMyAdmin/.  Original URL is: http://virtualcards.bestcash.me/  matched: HTTP/1.1 200 OK"",""-"",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""38867"",""OpenSSH Double Free Vulnerability"",""POTENTIAL"",""H"","""","""","""",""Y"",""-"",""7.1"",""3"",""OpenSSH (OpenBSD Secure Shell) is a set of computer programs providing encrypted communication sessions over a computer network using the SSH protocol.<P>  Affected Versions:<BR> OpenSSH before 8.5<P>  QID Detection Logic:<BR> This unauthenticated detection works by reviewing the version of the OpenSSH service."",""Attacker can access the legacy operating system  or forward the agent to an attacker-controlled host.<P>"",""Customers are advised to upgrade to <A HREF= https://www.openssh.com/txt/release-8.5  TARGET= _blank >OpenSSH 8.5</A> or later to remediate these vulnerabilities. "",""6.2"",""General remote services"",""Vulnerable SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u3 detected on port 22 over TCP."",""-"",""CVE-2021-28041""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""38900"",""OpenSSH Public-Key Authentication Vulnerability"",""POTENTIAL"",""L"","""","""","""",""N"",""-"",""3.7"",""2"",""OpenSSH (OpenBSD Secure Shell) is a set of computer programs providing encrypted communication sessions over a computer network using the SSH protocol.<P> OpenSSH contains the following vulnerabilities:<BR>  CVE-2021-36368: If a client is using public-key authentication with agent forwarding but without -oLogLevel=verbose  and an attacker has silently modified the server to support the None authentication option  then the user cannot determine whether FIDO authentication is going to confirm that the user wishes to connect to that server  or that the user wishes to allow that server to connect to a different server on the user's behalf.<P>  Affected Versions:<BR> OpenSSH versions prior to 8.9<P> QID Detection Logic:<BR> This unauthenticated detection works by reviewing the version of the OpenSSH service. "",""Successful exploitation allows a remote attacker silently modify the server to support the None authentication option when a client is using public-key authentication with agent forwarding but without -oLogLevel=verbose."",""Customers are advised to upgrade to <A HREF= https://www.openssh.com/  TARGET= _blank >OpenSSH 8.9</A> or later to remediate these vulnerabilities. "",""3.2"",""General remote services"",""Vulnerable SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u3 detected on port 22 over TCP."",""-"",""CVE-2021-36368""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""38903"",""OpenSSH Probable User Enumeration Vulnerability"",""POTENTIAL"",""M"","""","""","""",""Y"",""-"",""5.3"",""2"",""OpenSSH (OpenBSD Secure Shell) is a set of computer programs providing encrypted communication sessions over a computer network using the SSH protocol.<P> OpenSSH contains the following vulnerabilities:<BR>  CVE-2016-20012: OpenSSH through 8.7 allows remote attackers  who have a suspicion that a certain combination of username and public key is known to an SSH server  to test whether this suspicion is correct. This occurs because a challenge is sent only when that combination could be valid for a login session.<P>  Affected Versions:<BR> OpenSSH versions prior to 8.8<P> QID Detection Logic:<BR> This unauthenticated detection works by reviewing the version of the OpenSSH service. "",""Successful exploitation allows a remote attacker to test and confirm if a certain combination of username and public key is known to an SSH server."",""Customers are advised to upgrade to <A HREF= https://www.openssh.com/  TARGET= _blank >OpenSSH 8.8</A> or later to remediate these vulnerabilities. "",""4.8"",""General remote services"",""Vulnerable SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u3 detected on port 22 over TCP."",""-"",""CVE-2016-20012""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"35.215.62.58,""58.62.215.35.bc.googleusercontent.com"",""2024-01-31 12:41:26"",""38902"",""OpenSSH Man-in-the-Middle (MITM) Attack Vulnerability"",""POTENTIAL"",""M"","""","""","""",""Y"",""-"",""5.9"",""3"",""OpenSSH (OpenBSD Secure Shell) is a set of computer programs providing encrypted communication sessions over a computer network using the SSH protocol.<P> OpenSSH contains the following vulnerabilities:<BR>  CVE-2020-14145:The client side in OpenSSH 5.7 through 8.4 has an Observable Discrepancy leading to an information leak in the algorithm negotiation. This allows man-in-the-middle attackers to target initial connection attempts (where no host key for the server has been cached by the client). NOTE: some reports state that 8.5 and 8.6 are also affected.<P>  Affected Versions:<BR> OpenSSH 5.7-8.6<P>  QID Detection Logic:<BR> This unauthenticated detection works by reviewing the version of the OpenSSH service. "",""Successful exploitation allows man-in-the-middle attackers to target initial connection attempts <P>"",""Customers are advised to upgrade to <A HREF= https://www.openssh.com/  TARGET= _blank >OpenSSH 8.7</A> or later to remediate these vulnerabilities.  "",""5.2"",""General remote services"",""Vulnerable SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u3 detected on port 22 over TCP."",""-"",""CVE-2020-14145""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
